case_id,k,out_real,out_imag,energy
8,30,240,-501,308601
8,31,827,-250,746429
8,32,-125,-23,16154
8,33,345,-413,289594
8,34,-573,-1041,1412010
8,35,-1151,-278,1402085
8,36,-590,-1082,1518824
8,37,596,-1411,2346137
8,38,-916,-667,1283945
8,39,-152,-1739,3047225
8,40,-503,967,1188098
8,41,1102,210,1258504
8,42,-735,-460,751825
8,43,1168,21,1364665
8,44,487,-394,392405
8,45,-618,-396,538740
8,46,-941,445,1083506
8,47,524,116,288032
8,48,991,-621,1367722
8,49,664,221,489737
8,50,643,703,907658
8,51,586,-236,399092
8,52,256,-16,65792
8,53,-937,-656,1308305
8,54,-465,808,869089
8,55,-1157,2265,6468874
8,56,924,1387,2777545
8,57,176,287,113345
8,58,-3103,-696,10113025
8,59,-474,2200,5064676
8,60,-2537,3122,16183253
8,61,-995,1081,2158586
8,62,-731,472,757145
8,63,828,1716,3630240
9,0,-10945,-799,120431426
9,1,-1318,633,2137813
9,2,9531,-5894,125579197
9,3,1035,1611,3666546
9,4,-2452,-3213,16335673
9,5,1333,4979,26567330
9,6,-6435,-9134,124839181
9,7,-1904,-3454,15555332
9,8,1065,-6994,50050261
9,9,-252,-3688,13664848
9,10,3847,1299,16486810
9,11,1362,-650,2277544
9,12,3310,-1995,14936125
9,13,-3114,-135,9715221
9,14,4076,-34,16614932
9,15,7223,-4435,71840954
9,16,-4128,2657,24100033
9,17,-3762,2426,20038120
9,18,5640,2140,36389200
9,19,-1181,2129,5927402
9,20,5274,1374,29702952
9,21,-2010,6297,43692309
9,22,5396,-785,29733041
9,23,2224,-420,5122576
9,24,837,-2951,9408970
9,25,6281,-5477,69448490
9,26,-1899,-3804,18076617
9,27,-3086,-5357,38220845
9,28,655,-886,1214021
9,29,310,-331,205661
9,30,265,-155,94250
9,31,536,613,663065
9,32,-139,125,34946
9,33,535,451,489626
9,34,1390,1038,3009544
9,35,958,-178,949448
9,36,-1025,470,1271525
9,37,-436,-1230,1702996
9,38,-388,-460,362144
9,39,183,180,65889
9,40,-317,1467,2252578
9,41,-162,149,48445
9,42,-681,916,1302817
9,43,196,399,197617
9,44,288,225,133569
9,45,-161,-34,27077
9,46,895,-46,803141
9,47,580,158,361364
9,48,479,-1228,1737425
9,49,-840,310,801700
9,50,477,-538,516973
9,51,404,-278,240500
9,52,-365,-136,151721
9,53,169,-100,38561
9,54,-1092,-718,1707988
9,55,2308,-5030,30627764
9,56,-1616,-1693,5477705
9,57,2353,3931,20989370
9,58,-1526,750,2891176
9,59,-84,-1518,2311380
9,60,-1809,1912,6928225
9,61,3835,-1984,18643481
9,62,1281,-4,1640977
9,63,1688,-554,3156260
10,0,-416,1476,2351632
10,1,1330,6237,40669069
10,2,16,-3904,15241472
10,3,-3943,-39,15548770
10,4,4310,6664,62984996
10,5,1836,-6501,45633897
10,6,-853,-5272,28521593
10,7,-3820,-1339,16385321
10,8,2348,-3093,15079753
10,9,603,2878,8646493
10,10,-6247,652,39450113
10,11,-37,-8099,65595170
10,12,326,3185,10250501
10,13,-3614,-2483,19226285
10,14,1284,5291,29643337
10,15,-5975,-2653,42739034
10,16,5361,-2899,37144522
10,17,5639,2288,37033265
10,18,-1532,2993,11305073
10,19,1797,1812,6512553
10,20,-11185,-6640,169193825
10,21,-5124,1441,28331857
10,22,-2124,-4042,20849140
10,23,-4376,315,19248601
10,24,2761,-6731,52929482
10,25,7570,3469,69338861
10,26,-4128,-3836,31755280
10,27,-2704,-5987,43155785
10,28,121,-853,742250
10,29,231,-232,107185
10,30,295,-56,90161
10,31,-516,-565,585481
10,32,858,-371,873805
10,33,-865,813,1409194
10,34,-160,-797,660809
10,35,189,-936,911817
10,36,-1070,441,1339381
10,37,762,-320,683044
10,38,306,-671,543877
10,39,-1676,289,2892497
10,40,-256,767,653825
10,41,-401,-749,721802
10,42,-556,-651,732937
10,43,440,-1312,1914944
10,44,684,-138,486900
10,45,329,563,425210
10,46,-605,857,1100474
10,47,269,100,82361
10,48,903,-1377,2711538
10,49,538,1273,1909973
10,50,-1050,-517,1369789
10,51,-542,-668,739988
10,52,-47,-667,447098
10,53,292,-175,115889
10,54,-193,1865,3515474
10,55,844,-765,1297561
10,56,-2928,431,8758945
10,57,2918,-253,8578733
10,58,-1223,-498,1743733
10,59,-4462,820,20581844
10,60,2897,2005,12412634
10,61,2182,373,4900253
10,62,1531,-610,2716061
10,63,189,299,125122
11,0,1908,-1455,5757489
11,1,-407,-909,991930
11,2,-1065,2033,5267314
11,3,4528,-6358,60926948
11,4,-2905,-244,8498561
11,5,1054,-1908,4751380
11,6,1496,5982,38022340
11,7,-1987,-1030,5009069
11,8,1138,5560,32208644
11,9,-1967,-4081,20523650
11,10,-2164,2414,10510292
11,11,6155,1445,39972050
11,12,-3673,-4001,29498930
11,13,-9466,704,90100772
11,14,5658,5074,57758440
11,15,10539,-1737,114087690
11,16,-1952,-6762,49534948
11,17,-7981,16,63696617
11,18,-1074,-3951,16763877
11,19,-1041,-1614,3688677
11,20,-515,-535,551450
11,21,-4454,-6776,65752292
11,22,2206,-6086,41905832
11,23,1506,2320,7650436
11,24,-3889,-2185,19898546
11,25,2524,-10786,122708372
11,26,8004,2921,72596257
11,27,176,1882,3572900
11,28,331,-901,921362
11,29,-553,273,380338
11,30,93,29,9490
11,31,-374,-406,304712
11,32,141,318,121005
11,33,532,-455,490049
11,34,-1253,-723,2092738
11,35,-715,268,583049
11,36,1535,854,3085541
11,37,-936,-489,1115217
11,38,-339,-1106,1338157
11,39,268,26,72500
11,40,1092,-1346,3004180
11,41,510,-188,295444
11,42,473,-2038,4377173
11,43,418,875,940349
11,44,-94,-294,95272
11,45,-278,-505,332309
11,46,1524,166,2350132
11,47,1050,1315,2831725
11,48,-1157,-987,2312818
11,49,-476,-734,765332
11,50,-827,646,1101245
11,51,686,411,639517
11,52,21,399,159642
11,53,357,-316,227305
11,54,386,-175,179621
11,55,178,1250,1594184
11,56,-786,1573,3092125
11,57,-1456,-1267,3725225
11,58,3612,3118,22768468
11,59,-840,1,705601
11,60,-2,-1105,1221029
11,61,-3094,165,9600061
11,62,599,-1374,2246677
11,63,-2374,843,6346525
12,0,-3007,5501,39303050
12,1,-6030,-1438,38428744
12,2,2334,-4737,27886725
12,3,521,347,391850
12,4,9491,5083,115915970
12,5,1982,-2962,12701768
12,6,2200,-3735,18790225
12,7,-797,1715,3576434
12,8,2317,-1025,6419114
12,9,2787,1641,10460250
12,10,5296,303,28139425
12,11,-2763,2804,15496585
12,12,-2350,-4368,24601924
12,13,-1917,518,3943213
12,14,3102,-929,10485445
12,15,5691,-5453,62122690
12,16,-2047,-6553,47132018
12,17,-1186,3143,11285045
12,18,1708,-1293,4589113
12,19,-798,-4998,25616808
12,20,3975,-747,16358634
12,21,-10277,4623,126988858
12,22,-3727,-10579,125805770
12,23,-2191,-5716,37473137
12,24,-9593,-3619,105122810
12,25,-4319,7092,68950225
12,26,-3116,1538,12074900
12,27,-312,2991,9043425
12,28,-692,-50,481364
12,29,-107,-207,54298
12,30,764,-21,584137
12,31,398,201,198805
12,32,-388,-938,1030388
12,33,10,-713,508469
12,34,421,-345,296266
12,35,591,279,427122
12,36,-108,135,29889
12,37,-160,-444,222736
12,38,-1654,-1273,4356245
12,39,-259,1010,1087181
12,40,-18,105,11349
12,41,330,-119,123061
12,42,-1754,-1066,4212872
12,43,1019,-1896,4633177
12,44,-406,-578,498920
12,45,-70,-1466,2154056
12,46,-1177,432,1571953
12,47,50,143,22949
12,48,-646,-238,473960
12,49,-1381,-241,1965242
12,50,-411,899,977122
12,51,-17,-64,4385
12,52,81,668,452785
12,53,144,257,86785
12,54,-335,-418,286949
12,55,-338,-1103,1330853
12,56,103,-1139,1307930
12,57,1139,3105,10938346
12,58,951,1684,3740257
12,59,-828,2749,8242585
12,60,2233,1027,6041018
12,61,1620,-56,2627536
12,62,-1565,-316,2549081
12,63,165,993,1013274
13,0,-4219,-2287,23030330
13,1,-4956,3337,35697505
13,2,885,2913,9268794
13,3,-383,2867,8366378
13,4,2174,3934,20202632
13,5,1195,2204,6285641
13,6,2602,2362,12349448
13,7,706,3070,9923336
13,8,2685,1010,8229325
13,9,3414,-7850,73277896
13,10,-6407,-102,41060053
13,11,-8987,-2170,85475069
13,12,3844,-4735,37196561
13,13,4747,7405,77368034
13,14,-4493,7535,76963274
13,15,-7352,5978,89788388
13,16,386,1839,3530917
13,17,3870,5554,45823816
13,18,7784,-256,60656192
13,19,2586,136,6705892
13,20,-1201,-3636,14662897
13,21,-3890,1153,16461509
13,22,-948,-752,1464208
13,23,-1695,-5022,28093509
13,24,-4322,62,18683528
13,25,7485,346,56144941
13,26,7026,7768,109706500
13,27,4270,4554,38971816
13,28,78,677,464413
13,29,276,816,742032
13,30,1006,128,1028420
13,31,270,-659,507181
13,32,-134,-1068,1158580
13,33,661,610,809021
13,34,-427,2190,4978429
13,35,-420,-344,294736
13,36,-1162,-601,1711445
13,37,-440,172,223184
13,38,-112,-456,220480
13,39,1362,686,2325640
13,40,947,122,911693
13,41,393,-175,185074
13,42,-262,-657,500293
13,43,-460,261,279721
13,44,1307,-162,1734493
13,45,616,535,665681
13,46,-515,1131,1544386
13,47,-333,387,260658
13,48,298,-48,91108
13,49,959,319,1021442
13,50,-380,387,294169
13,51,-165,-711,532746
13,52,-105,-588,356769
13,53,692,-629,874505
13,54,-120,1296,1694016
13,55,1507,-1558,4698413
13,56,-1198,-2000,5435204
13,57,-859,888,1526425
13,58,234,666,498312
13,59,-3164,415,10183121
13,60,-1279,-1449,3735442
13,61,-1736,-447,3213505
13,62,-277,631,474890
13,63,-680,1606,3041636
14,0,-19,82,7085
14,1,927,-2771,8537770
14,2,-581,-1760,3435161
14,3,-1987,1736,6961865
14,4,-4309,-2017,22635770
14,5,861,1078,1903405
14,6,-3541,1453,14649890
14,7,-5165,-4859,50287106
14,8,2127,-2114,8993125
14,9,1034,6783,47078245
14,10,-7672,-5702,91372388
14,11,-347,-9961,99341930
14,12,4460,-8470,91632500
14,13,4399,-106,19362437
14,14,4164,-599,17697697
14,15,421,-312,274585
14,16,-3966,5986,51561352
14,17,-5223,-12004,171375745
14,18,2326,1122,6669160
14,19,1864,7164,54797392
14,20,5552,-5053,56357513
14,21,4574,-1712,23852420
14,22,-407,-2655,7214674
14,23,-5314,-4430,47863496
14,24,-2010,-2160,8705700
14,25,1151,5068,27009425
14,26,-1085,7841,62658506
14,27,-3451,-2103,16332010
14,28,593,-725,877274
14,29,480,700,720400
14,30,-906,64,824932
14,31,562,-1344,2122180
14,32,1008,-276,1092240
14,33,490,-129,256741
14,34,168,-276,104400
14,35,97,470,230309
14,36,-664,362,571940
